cp_white,cp_black,player,diff_level
0.350000,-0.350000,0,0
-0.200000,0.200000,1,0
0.480000,-0.480000,0,0
-0.330000,0.330000,1,0
0.310000,-0.310000,0,0
-0.160000,0.160000,1,0
0.410000,-0.410000,0,0
-0.350000,0.350000,1,0
0.340000,-0.340000,0,0
-0.230000,0.230000,1,0
0.180000,-0.180000,0,0
0.130000,-0.130000,1,0
-0.110000,0.110000,0,0
-0.510000,0.510000,1,0
1.530000,-1.530000,0,0
-0.630000,0.630000,1,0
4.560000,-4.560000,0,0
-1.660000,1.660000,1,0
-1.830000,1.830000,0,0
0.350000,-0.350000,0,-1
-0.200000,0.200000,1,-1
0.480000,-0.480000,0,-1
-0.330000,0.330000,1,-1
0.430000,-0.430000,0,-1
-0.720000,0.720000,1,-1
0.710000,-0.710000,0,-1
-0.690000,0.690000,1,-1
1.200000,-1.200000,0,-1
-0.690000,0.690000,1,-1
0.930000,-0.930000,0,-1
3.000000,-3.000000,1,-1
1.270000,-1.270000,0,-1
1.580000,-1.580000,1,-1
1.210000,-1.210000,0,-1
-1.110000,1.110000,1,-1
1.570000,-1.570000,0,-1
-0.780000,0.780000,1,-1
1.340000,-1.340000,0,-1
-0.950000,0.950000,1,-1
0.920000,-0.920000,0,-1
-0.650000,0.650000,1,-1
1.090000,-1.090000,0,-1
-1.380000,1.380000,1,-1
1.550000,-1.550000,0,-1
-0.880000,0.880000,1,-1
1.390000,-1.390000,0,-1
10.910000,-10.910000,1,-1
1.500000,-1.500000,0,-1
-10.050000,10.050000,1,-1
11.000000,-11.000000,0,-1
-10.150000,10.150000,1,-1
10.850000,-10.850000,0,-1
-10.740000,10.740000,1,-1
-10.670000,10.670000,0,-1
13.380000,-13.380000,1,-1
-13.250000,13.250000,0,-1
-13.210000,13.210000,1,-1
17.000000,-17.000000,0,-1
-13.460000,13.460000,1,-1
0.350000,-0.350000,0,-3
-0.200000,0.200000,1,-3
0.480000,-0.480000,0,-3
-0.330000,0.330000,1,-3
0.310000,-0.310000,0,-3
-0.160000,0.160000,1,-3
0.250000,-0.250000,0,-3
-0.180000,0.180000,1,-3
0.130000,-0.130000,0,-3
0.800000,-0.800000,1,-3
-0.460000,0.460000,0,-3
0.580000,-0.580000,1,-3
-0.440000,0.440000,0,-3
0.670000,-0.670000,1,-3
-0.880000,0.880000,0,-3
1.220000,-1.220000,1,-3
-0.670000,0.670000,0,-3
1.430000,-1.430000,1,-3
-0.930000,0.930000,0,-3
1.380000,-1.380000,1,-3
-0.120000,0.120000,0,-3
1.710000,-1.710000,1,-3
-1.050000,1.050000,0,-3
-2.680000,2.680000,1,-3
3.080000,-3.080000,0,-3
-2.590000,2.590000,1,-3
10.620000,-10.620000,0,-3
-2.540000,2.540000,1,-3
3.620000,-3.620000,0,-3
9.850000,-9.850000,1,-3
-3.540000,3.540000,0,-3
3.960000,-3.960000,1,-3
9.230000,-9.230000,0,-3
-8.690000,8.690000,1,-3
15.000000,-15.000000,0,-3
-9.080000,9.080000,1,-3
-9.040000,9.040000,0,-3
-9.080000,9.080000,1,-3
-12.990000,12.990000,0,-3
8.280000,-8.280000,1,-3
-11.500000,11.500000,0,-3
-10.880000,10.880000,1,-3
0.350000,-0.350000,0,-2
-0.200000,0.200000,1,-2
0.480000,-0.480000,0,-2
-0.330000,0.330000,1,-2
0.430000,-0.430000,0,-2
-0.370000,0.370000,1,-2
1.920000,-1.920000,0,-2
-0.210000,0.210000,1,-2
0.800000,-0.800000,0,-2
0.080000,-0.080000,1,-2
1.590000,-1.590000,0,-2
-0.630000,0.630000,1,-2
-0.880000,0.880000,0,-2
0.910000,-0.910000,1,-2
-0.600000,0.600000,0,-2
1.100000,-1.100000,1,-2
-0.760000,0.760000,0,-2
1.410000,-1.410000,1,-2
-1.870000,1.870000,0,-2
1.930000,-1.930000,1,-2
-1.530000,1.530000,0,-2
1.170000,-1.170000,1,-2
-1.300000,1.300000,0,-2
1.840000,-1.840000,1,-2
0.700000,-0.700000,0,-2
1.750000,-1.750000,1,-2
-1.880000,1.880000,0,-2
2.690000,-2.690000,1,-2
-2.370000,2.370000,0,-2
3.480000,-3.480000,1,-2
-2.950000,2.950000,0,-2
4.790000,-4.790000,1,-2
-3.830000,3.830000,0,-2
3.380000,-3.380000,1,-2
-2.740000,2.740000,0,-2
4.560000,-4.560000,1,-2
-4.300000,4.300000,0,-2
9.150000,-9.150000,1,-2
-6.430000,6.430000,0,-2
5.380000,-5.380000,1,-2
5.260000,-5.260000,0,-2
-4.740000,4.740000,1,-2
5.310000,-5.310000,0,-2
-5.780000,5.780000,1,-2
4.480000,-4.480000,0,-2
-4.240000,4.240000,1,-2
3.420000,-3.420000,0,-2
-3.490000,3.490000,1,-2
3.240000,-3.240000,0,-2
-2.160000,2.160000,1,-2
2.300000,-2.300000,0,-2
3.750000,-3.750000,1,-2
-4.670000,4.670000,0,-2
4.200000,-4.200000,1,-2
-4.820000,4.820000,0,-2
4.210000,-4.210000,1,-2
-5.440000,5.440000,0,-2
4.440000,-4.440000,1,-2
-5.280000,5.280000,0,-2
-5.860000,5.860000,1,-2
4.100000,-4.100000,0,-2
-4.330000,4.330000,1,-2
5.100000,-5.100000,0,-2
-1.090000,1.090000,1,-2
-7.660000,7.660000,0,-2
6.870000,-6.870000,1,-2
-8.240000,8.240000,0,-2
7.090000,-7.090000,1,-2
-7.210000,7.210000,0,-2
8.540000,-8.540000,1,-2
-7.080000,7.080000,0,-2
5.950000,-5.950000,1,-2
-7.840000,7.840000,0,-2
-7.530000,7.530000,1,-2
6.260000,-6.260000,0,-2
-7.370000,7.370000,1,-2
6.410000,-6.410000,0,-2
-7.360000,7.360000,1,-2
6.150000,-6.150000,0,-2
-7.120000,7.120000,1,-2
6.020000,-6.020000,0,-2
-6.910000,6.910000,1,-2
6.470000,-6.470000,0,-2
-7.130000,7.130000,1,-2
6.480000,-6.480000,0,-2
-7.320000,7.320000,1,-2
7.500000,-7.500000,0,-2
-8.410000,8.410000,1,-2
8.480000,-8.480000,0,-2
-9.630000,9.630000,1,-2
-6.390000,6.390000,0,-2
-6.490000,6.490000,1,-2
6.350000,-6.350000,0,-2
-6.360000,6.360000,1,-2
6.360000,-6.360000,0,-2
-6.290000,6.290000,1,-2
6.230000,-6.230000,0,-2
-6.300000,6.300000,1,-2
6.160000,-6.160000,0,-2
-8.310000,8.310000,1,-2
9.290000,-9.290000,0,-2
-6.850000,6.850000,1,-2
0.350000,-0.350000,0,-1
-0.200000,0.200000,1,-1
0.480000,-0.480000,0,-1
-0.330000,0.330000,1,-1
0.650000,-0.650000,0,-1
0.100000,-0.100000,1,-1
0.260000,-0.260000,0,-1
2.720000,-2.720000,1,-1
1.000000,-1.000000,0,-1
-1.480000,1.480000,1,-1
1.200000,-1.200000,0,-1
-1.090000,1.090000,1,-1
2.250000,-2.250000,0,-1
-0.980000,0.980000,1,-1
1.050000,-1.050000,0,-1
-1.330000,1.330000,1,-1
1.430000,-1.430000,0,-1
-0.880000,0.880000,1,-1
3.360000,-3.360000,0,-1
-3.330000,3.330000,1,-1
2.180000,-2.180000,0,-1
-2.080000,2.080000,1,-1
2.900000,-2.900000,0,-1
-2.670000,2.670000,1,-1
2.470000,-2.470000,0,-1
-1.970000,1.970000,1,-1
2.880000,-2.880000,0,-1
-1.900000,1.900000,1,-1
2.340000,-2.340000,0,-1
-2.020000,2.020000,1,-1
0.250000,-0.250000,0,-1
-0.760000,0.760000,1,-1
0.620000,-0.620000,0,-1
-0.390000,0.390000,1,-1
9.230000,-9.230000,0,-1
-0.870000,0.870000,1,-1
0.050000,-0.050000,0,-1
-0.070000,0.070000,1,-1
-1.860000,1.860000,0,-1
-1.010000,1.010000,1,-1
2.920000,-2.920000,0,-1
7.150000,-7.150000,1,-1
2.250000,-2.250000,0,-1
-2.780000,2.780000,1,-1
2.410000,-2.410000,0,-1
-2.230000,2.230000,1,-1
2.670000,-2.670000,0,-1
-0.800000,0.800000,1,-1
-1.420000,1.420000,0,-1
3.330000,-3.330000,1,-1
-2.900000,2.900000,0,-1
-5.780000,5.780000,1,-1
-5.820000,5.820000,0,-1
9.310000,-9.310000,1,-1
-9.130000,9.130000,0,-1
-9.020000,9.020000,1,-1
-8.840000,8.840000,0,-1
8.460000,-8.460000,1,-1
-8.460000,8.460000,0,-1
-8.370000,8.370000,1,-1
-8.120000,8.120000,0,-1
0.350000,-0.350000,0,-3
-0.200000,0.200000,1,-3
0.480000,-0.480000,0,-3
-0.600000,0.600000,1,-3
0.530000,-0.530000,0,-3
-0.680000,0.680000,1,-3
0.790000,-0.790000,0,-3
-0.500000,0.500000,1,-3
0.530000,-0.530000,0,-3
-0.700000,0.700000,1,-3
0.820000,-0.820000,0,-3
-1.440000,1.440000,1,-3
1.250000,-1.250000,0,-3
-0.960000,0.960000,1,-3
1.370000,-1.370000,0,-3
2.120000,-2.120000,1,-3
0.120000,-0.120000,0,-3
-0.170000,0.170000,1,-3
0.460000,-0.460000,0,-3
-0.060000,0.060000,1,-3
0.500000,-0.500000,0,-3
-0.200000,0.200000,1,-3
0.430000,-0.430000,0,-3
-0.300000,0.300000,1,-3
-0.320000,0.320000,0,-3
0.530000,-0.530000,1,-3
-1.680000,1.680000,0,-3
1.390000,-1.390000,1,-3
-0.270000,0.270000,0,-3
